id,symbol,headline,summary,date_time
1,AAPL,ESG Investors Will Love These 3 Stocks,"Environmental, social, and governance (ESG) investing is more than just looking at a company's balance sheet.  It forces investors to think about how a company and its products are impacting the world and whether that impact is positive.  There are lots of industries and ways to look at companies with an ESG lens, so we asked three of our Fool.com contributors for their top stock in the space.
",10/11/2020 6:00
2,AAPL,Stock-Split Fever Cools as Stock Markets Sink Slightly,"Investors didn't react to a stock split announcement in the usual way Tuesday. That's probably a good thing.
",9/29/2020 17:38
3,AAPL,"Apple Inc. stock falls Tuesday, underperforms market","COMPANY CLOSE UPDATES  Terrence Horan Shares of Apple Inc. AAPL dropped 0.76% to $114.09 Tuesday, on what proved to be an all-around rough trading session for the stock market, with the NASDAQ Composite Index COMP falling 0.
",9/29/2020 16:25
4,AAPL,Apple Accused of Delaying Masimo Legal Fight to Gain Watch Sales,"(Bloomberg) -- Apple Inc. is trying to delay a legal fight over allegedly stolen blood-oxygen monitoring technology in its latest watch so it can gain a more dominant share of the smartwatch market, medical-sensor maker Masimo Corp. said in a court filing late Monday.Blood-oxygen monitoring is a key feature of the latest Apple Watch Series 6 announced on Sept. 15. Masimo and its spinoff Cercacor Laboratories Inc. had sued in January, accusing Apple of promising a working relationship only to steal secret information and hire away key employees, including Cercacor’s former chief technology officer and Masimo’s chief medical officer.Cupertino, California-based Apple hasn’t formally responded to the allegations. Instead, it has filed request...
",9/29/2020 13:20
5,AAPL,25 Most Used Illegal Drugs in America,"In this article we will take a look at the top 25 illegal drugs Americans are addicted to. Click to skip ahead and see the top 10 most commonly abused illegal drugs in the United States. Insider Monkey is a financial news website and we closely watch addictive products because these companies' shares usually outperform […]
",9/29/2020 13:03
6,AAPL,Apple Inc. -- Moody's announces completion of a periodic review of ratings of Apple Inc.,"Announcement of Periodic Review: Moody's announces completion of a periodic review of ratings of Apple Inc.  New York, September 29, 2020 -- Moody's Investors Service (""Moody's"") has completed a periodic review of the ratings of Apple Inc. and other ratings that are associated with the same analytical unit.  The review was conducted through a portfolio review in which Moody's reassessed the appropriateness of the ratings in the context of the relevant principal methodology(ies), recent developments, and a comparison of the financial and operating profile to similarly rated peers.
",9/29/2020 13:01
7,AAPL,Google Isn't Giving Up on Fitbit Just Yet,"Alphabet tries one last time to win regulatory approval for its $2.1 billion deal for the struggling wearables pioneer.
",9/29/2020 10:55
8,AAPL,"Dow Jones Falls 125 Points, As Apple, Tesla Stumble; Beyond Meat Soars 12% On Expanded Walmart Partnership","The major stock indexes were lower early Tuesday, as the stock market rally attempt continues. Beyond Meat soared on expanded Walmart distribution.
",9/29/2020 10:46
9,AAPL,Buy These Top 5G Stocks Before It Gets Too Late,"Additionally, investments in 5G infrastructure will create demand for compatible smartphones.  One can invest in a 5G infrastructure-oriented stock such as Applied Materials (NASDAQ: AMAT) -- whose offerings will make it possible for chipmakers to make the chips required for network deployment or for use in devices supporting the new standard.  On the other hand, Synaptics (NASDAQ: SYNA) gives investors another way to take advantage of the 5G revolution as it supplies a key technology that's becoming ubiquitous with new smartphones.
",9/29/2020 7:30
10,AAPL,PRESS DIGEST-New York Times business news - Sept 29,"The following were the top stories in The New York Times business pages on Wednesday. Reuters has not verified these stories and does not vouch for their accuracy.
",9/29/2020 1:12
